Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading gpqa dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: google/gemma-4-26b-a4b
  Config: ctx=65536, quant=Q4_K_M, size=16.8GB, arch=gemma4
  Hardware: Apple M4, 32GB RAM, macOS 15.7.4
  GPU: 39°C | CPU: 43°C
  RAM: 17820MB process | Swap: 8478MB
  max_tokens: 32768
  Warmup... '4' | p=26 c=47 (t=42+v=5) 15.2t/s | stop
Running 90 specific questions: [11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]

==============================================================================================================
BENCHMARK: GPQA | Model: google/gemma-4-26b-a4b | Questions: 90
Params: temp=0, max_tokens=32768, seed=42
Config: ctx=65536, quant=Q4_K_M, size=16.8GB, arch=gemma4, experts=8
System: RAM=32GB, CPU=Apple M4
State:  GPU=45°C, swap=8812MB, process_ram=16750MB
Log: results/runs/gpqa_google_gemma-4-26b-a4b_20260412_112453.jsonl
==============================================================================================================
    1/90 Q11  |  181.1s | p= 170 c= 4246 (t= 4241+v=   5)  23.4t/s |  85°C ram=16722M sw=8812M | OK    | exp=C got=C | score: 100%
   56/90 Q66  |  188.1s | p= 200 c= 2904 (t= 2899+v=   5)  15.4t/s |     ? ram=16908M sw=7828M | OK    | exp=D got=D | score: 71%
   57/90 Q67  | 1021.6s | p= 319 c=15271 (t=15266+v=   5)  14.9t/s |  65°C ram=17661M sw=8323M | FAIL  | exp=A got=B | score: 70%
   58/90 Q68  | 1800.0s | p=   0 c=    0 (t=    0+v=   0)   0.0t/s |  64°C ram=17771M sw=9357M | FAIL  | exp=B got=? | score: 69%
   59/90 Q69  | 1800.0s | p=   0 c=    0 (t=    0+v=   0)   0.0t/s |     ? ram=18159M sw=10692M | FAIL  | exp=D got=? | score: 68%
   60/90 Q70  |  526.9s | p=  77 c= 8548 (t= 8037+v= 511)  16.2t/s |  65°C ram=17214M sw=11866M | OK    | exp=A got=A | score: 68%
   61/90 Q71  |  990.4s | p= 138 c=15782 (t=14878+v= 904)  15.9t/s |  69°C ram=17926M sw=9146M | OK    | exp=C got=C | score: 69%
   62/90 Q72  |   27.1s | p= 106 c=  502 (t=  497+v=   5)  18.5t/s |  69°C ram=18004M sw=10425M | OK    | exp=C got=C | score: 69%
   63/90 Q73  |  738.8s | p= 275 c=12748 (t=12118+v= 630)  17.3t/s |  69°C ram=17256M sw=8438M | FAIL  | exp=D got=B | score: 68%
   64/90 Q74  |   64.3s | p= 138 c= 1246 (t= 1241+v=   5)  19.4t/s |  68°C ram=17904M sw=8863M | FAIL  | exp=C got=D | score: 67%
   65/90 Q75  |  977.7s | p= 425 c=16809 (t=16115+v= 694)  17.2t/s |  68°C ram=17926M sw=9696M | FAIL  | exp=B got=C | score: 66%
   66/90 Q76  |  110.3s | p= 151 c= 2093 (t= 2088+v=   5)  19.0t/s |  69°C ram=17565M sw=10524M | FAIL  | exp=C got=B | score: 65%
   67/90 Q77  | 1478.8s | p= 157 c=24886 (t=24118+v= 768)  16.8t/s |  71°C ram=17702M sw=7627M | OK    | exp=D got=D | score: 66%
   68/90 Q78  |  869.6s | p= 199 c=15649 (t=14959+v= 690)  18.0t/s |  69°C ram=17890M sw=8436M | FAIL  | exp=C got=B | score: 65%
   69/90 Q79  |  839.7s | p= 263 c=15109 (t=15104+v=   5)  18.0t/s |  70°C ram=17817M sw=9833M | FAIL  | exp=B got=C | score: 64%
   70/90 Q80  |  212.4s | p= 288 c= 4030 (t= 3504+v= 526)  19.0t/s |  71°C ram=17932M sw=8780M | OK    | exp=A got=A | score: 64%
   71/90 Q81  |  251.6s | p= 223 c= 4809 (t= 4392+v= 417)  19.1t/s |  70°C ram=18797M sw=9953M | FAIL  | exp=C got=D | score: 63%
   72/90 Q82  |  566.1s | p= 190 c=10550 (t= 9553+v= 997)  18.6t/s |     ? ram=18405M sw=8243M | OK    | exp=A got=A | score: 64%
   73/90 Q83  |   55.2s | p= 228 c= 1080 (t= 1075+v=   5)  19.6t/s |  69°C ram=18233M sw=9114M | OK    | exp=D got=D | score: 64%
   74/90 Q84  |  346.4s | p= 245 c= 6555 (t= 6100+v= 455)  18.9t/s |  70°C ram=17851M sw=10107M | FAIL  | exp=D got=B | score: 64%
   75/90 Q85  |   29.5s | p= 124 c=  607 (t=  602+v=   5)  20.6t/s |  70°C ram=17548M sw=10792M | OK    | exp=D got=D | score: 64%
   76/90 Q86  |  719.7s | p= 220 c=13241 (t=12445+v= 796)  18.4t/s |  71°C ram=18311M sw=7876M | FAIL  | exp=B got=D | score: 63%
   77/90 Q87  |  209.0s | p= 266 c= 4028 (t= 3755+v= 273)  19.3t/s |  71°C ram=17746M sw=8343M | OK    | exp=C got=C | score: 64%
   78/90 Q88  |   14.6s | p=  67 c=  319 (t=  314+v=   5)  21.8t/s |  72°C ram=18251M sw=9468M | OK    | exp=C got=C | score: 64%
   79/90 Q89  |  966.6s | p= 252 c=17413 (t=16932+v= 481)  18.0t/s |  71°C ram=18136M sw=10200M | FAIL  | exp=B got=C | score: 63%
   80/90 Q90  |  291.9s | p= 219 c= 5529 (t= 4249+v=1280)  18.9t/s |  70°C ram=17622M sw=10913M | FAIL  | exp=A got=B | score: 62%
   81/90 Q91  |   90.6s | p= 153 c= 1830 (t= 1825+v=   5)  20.2t/s |  69°C ram=17901M sw=8507M | OK    | exp=A got=A | score: 63%
   82/90 Q92  |  489.5s | p=  78 c= 9215 (t= 8682+v= 533)  18.8t/s |  69°C ram=18150M sw=9460M | OK    | exp=B got=B | score: 63%
   83/90 Q93  |  158.4s | p= 279 c= 3099 (t= 3094+v=   5)  19.6t/s |  71°C ram=17777M sw=9971M | FAIL  | exp=D got=A | score: 63%
   84/90 Q94  |   40.0s | p= 187 c=  832 (t=  827+v=   5)  20.8t/s |  69°C ram=18726M sw=11053M | OK    | exp=A got=A | score: 63%
   85/90 Q95  |   37.7s | p= 169 c=  798 (t=  793+v=   5)  21.1t/s |  69°C ram=18347M sw=8097M | OK    | exp=A got=A | score: 64%
   86/90 Q96  | 1800.0s | p=   0 c=    0 (t=    0+v=   0)   0.0t/s |  70°C ram=18294M sw=8272M | FAIL  | exp=B got=? | score: 63%
   87/90 Q97  |   50.4s | p= 194 c= 1009 (t= 1004+v=   5)  20.0t/s |  71°C ram=17189M sw=9084M | OK    | exp=A got=A | score: 63%
   88/90 Q98  |   46.3s | p= 133 c=  977 (t=  972+v=   5)  21.1t/s |  69°C ram=17863M sw=10199M | OK    | exp=D got=D | score: 64%
   89/90 Q99  |   34.3s | p= 220 c=  700 (t=  695+v=   5)  20.4t/s |  71°C ram=17759M sw=10562M | OK    | exp=B got=B | score: 64%
   90/90 Q100 |  198.8s | p= 266 c= 3925 (t= 3201+v= 724)  19.7t/s |  71°C ram=17570M sw=10663M | FAIL  | exp=C got=A | score: 63%

  >>> GPQA: 63% (57/90) in 37737s (628.9m)
  >>> GPU: 45°C → 68°C
  >>> RAM: 16750MB | Swap: 8812MB → 11136MB
  >>> Log: results/runs/gpqa_google_gemma-4-26b-a4b_20260412_112453.jsonl
  >>> Summary: results/runs/gpqa_google_gemma-4-26b-a4b_20260412_112453_summary.json
