Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading math dataset...
Loaded 100 questions

--- Pre-flight ---
  Model: google/gemma-4-26b-a4b
  Config: ctx=65536, quant=Q4_K_M, size=16.8GB, arch=gemma4
  Hardware: Apple M4, 32GB RAM, macOS 15.7.4
  GPU: 39°C | CPU: 44°C
  RAM: 16032MB process | Swap: 4626MB
  max_tokens: 32768
  Warmup... '4' | p=26 c=47 (t=42+v=5) 13.7t/s | stop

==============================================================================================================
BENCHMARK: MATH | Model: google/gemma-4-26b-a4b | Questions: 100
Params: temp=0, max_tokens=32768, seed=42
Config: ctx=65536, quant=Q4_K_M, size=16.8GB, arch=gemma4, experts=8
System: RAM=32GB, CPU=Apple M4
State:  GPU=47°C, swap=5565MB, process_ram=18113MB
Log: results/runs/math_google_gemma-4-26b-a4b_20260411_135639.jsonl
==============================================================================================================
    1/100 Q1   |   72.0s | p=  88 c= 1949 (t= 1469+v= 480)  27.1t/s |  -2°C ram=17975M sw=5565M | OK    | Level 4 | score: 100%
   42/100 Q42  |   50.4s | p=  46 c=  854 (t=  422+v= 432)  16.9t/s |  -2°C ram=17935M sw=8272M | OK    | Level 1 | score: 90%
   43/100 Q43  |  464.8s | p=  91 c= 6962 (t= 5954+v=1008)  15.0t/s |  63°C ram=18050M sw=8821M | FAIL  | Level 3 | score: 88%
   44/100 Q44  |  421.0s | p= 104 c= 6204 (t= 5848+v= 356)  14.7t/s |  64°C ram=18113M sw=9217M | OK    | Level 3 | score: 89%
   45/100 Q45  |  138.4s | p= 103 c= 2081 (t= 1815+v= 266)  15.0t/s |  64°C ram=17984M sw=7713M | OK    | Level 3 | score: 89%
   46/100 Q46  |   80.8s | p= 103 c= 1187 (t=  688+v= 499)  14.7t/s |  -2°C ram=17675M sw=9019M | OK    | Level 4 | score: 89%
   47/100 Q47  |  105.2s | p=  83 c= 1620 (t= 1059+v= 561)  15.4t/s |  63°C ram=17562M sw=9274M | FAIL  | Level 5 | score: 87%
   48/100 Q48  |  397.9s | p=  79 c= 5867 (t= 5159+v= 708)  14.7t/s |  64°C ram=17714M sw=9377M | OK    | Level 5 | score: 88%
   49/100 Q49  |   59.4s | p=  95 c=  961 (t=  489+v= 472)  16.2t/s |  64°C ram=17670M sw=10006M | OK    | Level 3 | score: 88%
   50/100 Q50  |  150.8s | p=  98 c= 2374 (t= 1628+v= 746)  15.7t/s |  63°C ram=18294M sw=7842M | FAIL  | Level 2 | score: 86%
   51/100 Q51  |  112.4s | p=  94 c= 1818 (t= 1054+v= 764)  16.2t/s |  63°C ram=17757M sw=8114M | OK    | Level 5 | score: 86%
   52/100 Q52  |   51.9s | p=  58 c=  857 (t=  487+v= 370)  16.5t/s |  63°C ram=17455M sw=8382M | OK    | Level 2 | score: 87%
   53/100 Q53  |   79.5s | p=  91 c= 1303 (t=  758+v= 545)  16.4t/s |  63°C ram=17770M sw=8919M | OK    | Level 3 | score: 87%
   54/100 Q54  |   51.8s | p=  64 c=  819 (t=  432+v= 387)  15.8t/s |  64°C ram=17673M sw=9090M | OK    | Level 2 | score: 87%
   55/100 Q55  |   36.4s | p=  65 c=  613 (t=  286+v= 327)  16.8t/s |  64°C ram=17750M sw=9568M | OK    | Level 3 | score: 87%
   56/100 Q56  |  154.9s | p= 938 c= 2305 (t= 1715+v= 590)  14.9t/s |  63°C ram=17902M sw=9658M | OK    | Level 4 | score: 88%
   57/100 Q57  |  191.4s | p= 256 c= 2976 (t= 2250+v= 726)  15.5t/s |  64°C ram=17921M sw=10202M | OK    | Level 4 | score: 88%
   58/100 Q58  |  131.2s | p=  87 c= 1947 (t= 1256+v= 691)  14.8t/s |  64°C ram=18128M sw=8472M | OK    | Level 4 | score: 88%
   59/100 Q59  |   73.1s | p=  85 c= 1110 (t=  582+v= 528)  15.2t/s |  64°C ram=17857M sw=8878M | OK    | Level 2 | score: 88%
   60/100 Q60  |  192.1s | p=  77 c= 2996 (t= 2092+v= 904)  15.6t/s |  63°C ram=17728M sw=9128M | FAIL  | Level 4 | score: 87%
   61/100 Q61  |   52.1s | p=  54 c=  859 (t=  518+v= 341)  16.5t/s |  64°C ram=17754M sw=9474M | OK    | Level 4 | score: 87%
   62/100 Q62  |  340.2s | p=  67 c= 5116 (t= 4682+v= 434)  15.0t/s |  63°C ram=18096M sw=7229M | OK    | Level 4 | score: 87%
   63/100 Q63  |  588.4s | p= 112 c= 8913 (t= 8100+v= 813)  15.1t/s |  -2°C ram=17479M sw=7715M | FAIL  | Level 4 | score: 86%
   64/100 Q64  | 1800.0s | p=   0 c=    0 (t=    0+v=   0)   0.0t/s |  65°C ram=17927M sw=9154M | FAIL  | Level 5 | score: 84%
   65/100 Q65  |  286.8s | p=  75 c= 4605 (t= 3827+v= 778)  16.1t/s |  65°C ram=17318M sw=10017M | OK    | Level 5 | score: 85%
   66/100 Q66  |   65.3s | p=  73 c= 1158 (t=  621+v= 537)  17.7t/s |  65°C ram=18200M sw=8369M | OK    | Level 4 | score: 85%
   67/100 Q67  |  285.1s | p=  95 c= 4735 (t= 4221+v= 514)  16.6t/s |  66°C ram=18939M sw=9321M | OK    | Level 5 | score: 85%
   68/100 Q68  |  173.2s | p= 194 c= 2898 (t= 2223+v= 675)  16.7t/s |  64°C ram=18132M sw=9591M | OK    | Level 4 | score: 85%
   69/100 Q69  |  660.9s | p= 123 c=10291 (t= 9525+v= 766)  15.6t/s |  65°C ram=18071M sw=10661M | FAIL  | Level 4 | score: 84%
   70/100 Q70  |  448.2s | p=  81 c= 6844 (t= 6245+v= 599)  15.3t/s |  65°C ram=18125M sw=8394M | OK    | Level 2 | score: 84%
   71/100 Q71  |   31.6s | p=  44 c=  537 (t=  257+v= 280)  17.0t/s |  65°C ram=18047M sw=9467M | OK    | Level 2 | score: 85%
   72/100 Q72  |   97.2s | p= 214 c= 1658 (t= 1031+v= 627)  17.1t/s |  -2°C ram=18589M sw=8086M | OK    | Level 5 | score: 85%
   73/100 Q73  |  249.2s | p=  75 c= 4140 (t= 3324+v= 816)  16.6t/s |  -2°C ram=19090M sw=8022M | OK    | Level 5 | score: 85%
   74/100 Q74  |   99.0s | p=  53 c= 1907 (t= 1189+v= 718)  19.3t/s |  67°C ram=18179M sw=8576M | OK    | Level 3 | score: 85%
   75/100 Q75  |   61.8s | p= 200 c= 1153 (t=  892+v= 261)  18.6t/s |  67°C ram=17953M sw=9372M | OK    | Level 1 | score: 85%
   76/100 Q76  |  132.2s | p= 161 c= 2399 (t= 1737+v= 662)  18.1t/s |  65°C ram=17757M sw=7353M | OK    | Level 3 | score: 86%
   77/100 Q77  |   42.4s | p=  72 c=  783 (t=  418+v= 365)  18.5t/s |  66°C ram=17726M sw=7420M | OK    | Level 2 | score: 86%
   78/100 Q78  |   39.3s | p= 108 c=  745 (t=  442+v= 303)  18.9t/s |  66°C ram=17841M sw=8315M | OK    | Level 3 | score: 86%
   79/100 Q79  |  187.1s | p= 173 c= 3362 (t= 2659+v= 703)  18.0t/s |  66°C ram=18116M sw=8291M | OK    | Level 5 | score: 86%
   80/100 Q80  |  189.8s | p=  82 c= 3440 (t= 2516+v= 924)  18.1t/s |  67°C ram=17638M sw=8715M | FAIL  | Level 3 | score: 85%
   81/100 Q81  |  389.7s | p= 335 c= 6754 (t= 5900+v= 854)  17.3t/s |  67°C ram=18057M sw=9500M | FAIL  | Level 3 | score: 84%
   82/100 Q82  |  117.5s | p= 107 c= 2178 (t= 1532+v= 646)  18.5t/s |  66°C ram=18416M sw=10397M | FAIL  | Level 5 | score: 83%
   83/100 Q83  |  105.8s | p=  82 c= 1995 (t= 1292+v= 703)  18.9t/s |  66°C ram=18584M sw=8240M | FAIL  | Level 4 | score: 82%
   84/100 Q84  |  644.7s | p= 341 c=11287 (t=10638+v= 649)  17.5t/s |  67°C ram=17770M sw=8405M | OK    | Level 1 | score: 82%
   85/100 Q85  |   52.0s | p=  83 c= 1033 (t=  547+v= 486)  19.9t/s |  68°C ram=18266M sw=9321M | OK    | Level 5 | score: 82%
   86/100 Q86  |  265.2s | p=  98 c= 4925 (t= 3947+v= 978)  18.6t/s |  69°C ram=18559M sw=10139M | OK    | Level 3 | score: 83%
   87/100 Q87  |  105.9s | p=  58 c= 2061 (t= 1122+v= 939)  19.5t/s |  69°C ram=17818M sw=10639M | OK    | Level 4 | score: 83%
   88/100 Q88  |  149.3s | p=  72 c= 2897 (t= 2148+v= 749)  19.4t/s |  68°C ram=18407M sw=7919M | OK    | Level 3 | score: 83%
   89/100 Q89  |  101.1s | p= 120 c= 2000 (t= 1395+v= 605)  19.8t/s |  -2°C ram=17680M sw=8150M | OK    | Level 5 | score: 83%
   90/100 Q90  |  133.8s | p= 112 c= 2530 (t= 1677+v= 853)  18.9t/s |  -2°C ram=17556M sw=8810M | FAIL  | Level 5 | score: 82%
   91/100 Q91  |   89.0s | p= 126 c= 1789 (t= 1171+v= 618)  20.1t/s |  -2°C ram=17842M sw=9558M | OK    | Level 4 | score: 82%
   92/100 Q92  |  317.3s | p=  76 c= 5978 (t= 5514+v= 464)  18.8t/s |  68°C ram=18007M sw=7598M | OK    | Level 2 | score: 83%
   93/100 Q93  |  589.5s | p= 177 c=10992 (t=10345+v= 647)  18.6t/s |  70°C ram=17850M sw=8063M | FAIL  | Level 1 | score: 82%
   94/100 Q94  |   31.1s | p=  68 c=  652 (t=  429+v= 223)  20.9t/s |  68°C ram=18213M sw=9732M | OK    | Level 3 | score: 82%
   95/100 Q95  |  129.8s | p=  71 c= 2589 (t= 1963+v= 626)  20.0t/s |  69°C ram=18270M sw=8279M | OK    | Level 3 | score: 82%
   96/100 Q96  |   53.1s | p= 349 c= 1041 (t=  615+v= 426)  19.6t/s |  70°C ram=17846M sw=8327M | OK    | Level 3 | score: 82%
   97/100 Q97  |  238.6s | p=  75 c= 4654 (t= 4061+v= 593)  19.5t/s |  -2°C ram=18014M sw=9134M | FAIL  | Level 4 | score: 81%
   98/100 Q98  |  118.0s | p= 288 c= 2350 (t= 1640+v= 710)  19.9t/s |  -2°C ram=17693M sw=9432M | OK    | Level 5 | score: 82%
   99/100 Q99  |   84.5s | p=  82 c= 1772 (t= 1255+v= 517)  21.0t/s |  -2°C ram=18214M sw=10804M | OK    | Level 5 | score: 82%
  100/100 Q100 |   65.8s | p= 101 c= 1377 (t=  891+v= 486)  20.9t/s |  -2°C ram=17339M sw=7849M | OK    | Level 2 | score: 82%

  >>> MATH: 82% (82/100) in 20249s (337.5m)
  >>> GPU: 47°C → 66°C
  >>> RAM: 18113MB | Swap: 5565MB → 8365MB
  >>> Log: results/runs/math_google_gemma-4-26b-a4b_20260411_135639.jsonl
  >>> Summary: results/runs/math_google_gemma-4-26b-a4b_20260411_135639_summary.json
